제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
미래상상마술쇼,송파브이아트홀,서울특별시 송파구 오금로 513 (거여동) 지하1층 브이아트홀,2019/11/02 ~ 2023/12/31,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/19/10/0400011910_151118_0749.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19016369,어린이/가족,O,,,줄거리 없음,"코미디의맛
-윤형빈소극장의 메인 코미디쇼 관객과의전쟁 시즌2
더 강력한 웃음으로 업그레이드된 개그쇼 코미디의맛!!

가족,친구,연인 남녀 노소 빵빵 터지는 리얼 웃음맛집

웃고 싶다면 윤형빈소극장으로!!

쇼미더퍼니
-윤형빈소극장 개그 유망주들의 치열한 생존경쟁
＂웃어라 그리고 평가하라＂
윤형빈소극장 정예 개그유망주들의 운명을 결정하라!
관객이 직접 투표에 참여하는 개그 서바이벌!
최강급 멘토진까지!

홍콩쇼
-더이상 혼자 상상하지 마라!
고품격 19금 성인 개그쇼!
내안에 음란마귀를 꺼내라!!
내숭은 잠시 접어두고 시원하게 웃자~~
오직 즐길줄 아는 당신을 위해 만든 개그공연
불금에 하는 홍대콩트쇼** 놀러오세요^^"
요리하는 마술사 - 파주,맛있는 극장 2호점 (파주 프로방스 마술극장),경기도 파주시 탄현면 성동리 53-1,2020/10/03 ~ 2023/10/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/20/09/0400012009_160323_01.338.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20007769,어린이/가족,O,,,줄거리 없음,작품설명 없음
두들팝,신한pLay 스퀘어 드림홀,서울 마포구 서교동 490번지 메세나폴리스,2022/01/22 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/12/0400012112_171289_01.844.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21013289,어린이/가족,O,,,줄거리 없음,작품설명 없음
아이좀비 - 부산,어댑터플레이스,부산광역시 수영구 광안해변로 193(광안동) 티파티타워 7층,2023/06/15 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188797_01.327.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007297,연극,O,,,줄거리 없음,작품설명 없음
운빨로맨스 - 대구,아트플러스씨어터,대구 중구 공평동 16-11,2023/09/01 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190974_01.500.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009903,연극,O,,,줄거리 없음,작품설명 없음
혜영에게 - 대구,소극장 길,대구 남구 대명동 2132-4,2023/09/01 ~ 2023/11/26,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191207_01.712.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010249,줄거리 없음,작품설명 없음
큰 가슴의 발레리나,대학로 예술공간 혜화,서울 종로구 혜화동 74-38 (혜화로 10-3),2023/08/31 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191847_01.435.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011070,연극,O,,,줄거리 없음,작품설명 없음
1미터마술공연,매지클,서울특별시 강남구 삼성로61길 30 (대치동 933-17) 지하 1층,2018/12/15 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/18/12/0400011812_135965_01.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000139,연극,O,,,줄거리 없음,작품설명 없음
더블,온라인,주소:,2021/01/15 ~ 오픈런,,,온라인 연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/04/0400012104_164344_01.139.gif,후기탭 없음,줄거리 없음,작품설명 없음
rin_test 2023,,주소정보없음,2023/01/20 ~ 2023/12/31,http://ticketimage.interpark.com/TicketImage/07playdb/noimg_160x200.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000961,연극,O,,,줄거리 없음,단 하나의 규칙：모든 사람은 자신이 말하는 자신의 실체와 같은 사람일 것
요리하는 마술사 - 부천,부천소극장,경기도 부천시 중동로254번길 87(중동) 지하 1층 부천소극장,2023/04/22 ~ 2023/10/29,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187200_01.120.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005341,어린이/가족,O,,,줄거리 없음,작품설명 없음
사과가 쿵 - 수원,KBS 수원아트홀,"경기도 수원시 인계로 123 (인계동,KBS수원아트홀",2023/08/12 ~ 2023/10/15,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189301_01.950.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007962,줄거리 없음,작품설명 없음
과학에 빠진 마술사 - 부천,미리내 마술극단 은하수홀,경기 수원시팔달구 팔달로3가 92,2023/07/08 ~ 2023/09/30,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189880_01.920.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008607,줄거리 없음,작품설명 없음
천하장사 반쪽이 - 대구,대백레오문화홀,대구시 중구 대봉1동 214번지,2023/09/02 ~ 2023/10/09,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190696_01.247.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009595,줄거리 없음,작품설명 없음
류엘의 매직콘서트,"한국방송회관 코바코홀 (구,브로드홀)",서울특별시 양천구 목동 923-5,2023/09/02 ~ 2023/10/03,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190836_01.146.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009749,줄거리 없음,작품설명 없음
언플러그드 - 대전,,주소정보없음,2023/09/01 ~ 2023/10/15,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191278_01.304.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010246,연극,O,,,줄거리 없음,작품설명 없음
"사랑, 거짓말",달밤엔씨어터,서울 종로구 혜화동 194,2023/09/06 ~ 2023/09/17,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192997_01.226.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23012441,줄거리 없음,작품설명 없음
죽여주는 이야기,지인시어터(구.알과핵소극장),서울 종로구 동숭동 1-140 (마로니에유리빌딩지하1층),2023/07/01 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190318_01.009.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008491,연극,O,,,줄거리 없음,작품설명 없음
생활의 비용,미아리고개예술극장,서울특별시 성북구 돈암동 51-49,2023/09/06 ~ 2023/09/10,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191982_01.449.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011247,줄거리 없음,작품설명 없음
네네네 - 용인,용인어린이상상의숲 공연놀이터,경기 용인시 처인구 동백죽전대로 61,2023/09/02 ~ 2023/10/22,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192088_01.323.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011374,줄거리 없음,작품설명 없음
11만불 데이트,설렘아트홀,서울특별시 광진구 능동로19길 23 지하1층 101호,2023/09/06 ~ 2023/09/24,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191433_01.452.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010546,줄거리 없음,작품설명 없음
사물의 본성에 관하여,북촌창우극장,서울 종로구 원서동 158-2,2023/09/06 ~ 2023/09/10,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191799_01.926.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011021,줄거리 없음,작품설명 없음
달빛의 노래 - 대전,대전무형문화재전수회관,대전광역시 대덕구 송촌동 463,2023/09/05 ~ 2023/09/06,,,퍼포먼스,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192143_01.951.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011424,줄거리 없음,작품설명 없음
"괜찮아, 해피엔딩이야",대학로 극장 동국,서울시 종로구 명륜2가 13번지,2023/09/06 ~ 2023/09/17,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192367_01.454.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011693,줄거리 없음,작품설명 없음
경찰,대학로 열린극장,종로구 명륜2가 21-18 명륜빌딩 지하1층,2023/09/06 ~ 2023/09/10,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192397_01.114.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011749,줄거리 없음,작품설명 없음
코미디의맛 / 쇼미더퍼니,윤형빈소극장 (홍대),서울 마포구 서교동 364-31 B1(zara건물),2023/09/05 ~ 2023/10/08,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192459_01.819.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011814,연극,O,,,줄거리 없음,작품설명 없음
5=1 - 부산,BNK부산은행 조은극장 1관,부산광역시 중구 구덕로 34번길 4 뉴남포빌딩 3층(남포동 2가 25-10),2023/09/06 ~ 2023/09/07,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192012_01.557.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011249,줄거리 없음,작품설명 없음
제8회 여성연극제 - 노파의 오찬,민송아트홀 2관,서울 종로구 혜화동 185번지 중원빌딩 6층,2023/09/06 ~ 2023/09/10,,,연극,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191941_01.149.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011195,줄거리 없음,작품설명 없음
스탠업코메디 콘서트,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/03/03 ~ 2023/12/31,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_185331_01.022.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002793,줄거리 없음,작품설명 없음
앱솔루트 쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/05/09 ~ 2023/12/31,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_187957_01.903.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006280,줄거리 없음,작품설명 없음
걸 스토리 콘서트,SMTOWN THEATRE,서울특별시 강남구 영동대로 513 SMTOWN@coexartium,2015/04/06 ~ 오픈런,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/15/12/0400011512_87422_01.gif,후기탭 없음,줄거리 없음,작품설명 없음
죠니워커 쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/04/27 ~ 2024/12/31,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187623_01.948.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005839,줄거리 없음,"소녀시대 윤아와 샤이니 민호가 출연하는 ‘GIRL STORY’는 로봇인 소녀가
감정을 갖게 되면서 사랑의 힘이 생긴다는 이야기의 영상과
홀로그램 콘서트가 함께 구성되어 공연의 재미를 한층 부각시켰다."
오만방자 전라감사 길들이기－전주,전주한벽문화관 혼례마당,전북 전주시 완산구 교동 7-1,2023/05/27 ~ 2023/10/14,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187842_01.848.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006113,콘서트,O,,,줄거리 없음,작품설명 없음
케이웨이브콘,케이터틀 컨벤션홀,서울특별시 마포구 백범로 23 케이터틀 2층 컨벤션홀,2023/03/02 ~ 2023/10/31,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183938_01.726.gif,후기탭 없음,줄거리 없음,작품설명 없음
루키즈 게임,홍대 DGBD,서울특별시 마포구 서교동 395-17,2011/01/29 ~ 오픈런,,,힙합/랩,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/13/10/0400011310_53971_01.gif,후기탭 없음,"“사계에 숨겨진 한류의 DNA를 찾아서”
세계를 선도하는 문화적 현상 한류의 정신(K-Spirit)과 사계절(K-Four Seasons)을
연결하고 한류의 DNA(K-DNA)를 들여다 볼 수 있는 특별한 콘서트

그대 안의 한류의 DNA를 찾아라!
당신 안의 한류의 DNA를 깨워라!
한국의 아름다움과 한류의 정신을 
우리만의 독특한 방식으로 풀어내는 유일한 콘서트,K웨이브콘;KwaveCON","첫째, 세계를 선도하는 현상, 한류의 정신(K-Spirit) 엿보기
둘째, 한류의 정신을 한류의 DNA(K-DNA)로 확장하기
셋째, 한류의 DNA와 한국의 사계절(K-Four Seasons) 연결하기"
로얄 살루트 황제쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/04/21 ~ 2024/12/31,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187507_01.355.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005696,줄거리 없음,"루키즈게임은 언더그라운드 힙합씬에서 활동하고있는 여러 크루들이 모여서
만든 ＇공연연합＇ 으로써 힙합을 기반으로 멋지고 신나는 무대를 만들어 보여드리고 있습니다.

루키즈게임의 주 활동 무대는 언더그라운드 힙합 공연과, 대학교축제,
페스티벌, 행사 등으로써 신나는 무대를 만들어 내는 데에 특화되어 있는 팀입니다.

루키즈게임은 다른 크루나, 가수와 달리 다양한 크루와 멤버들이
속해 있기 때문에 시간과 장소에 구애받지 않고 현장 분위기에
맞는 멋진 무대를 보여드릴 수 있습니다."
DJ 미스타리 디제잉 쇼,더쇼씨어터,서울특별시 강동구 성내동 559-9 2층,2023/03/15 ~ 2023/12/29,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185935_01.319.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003540,줄거리 없음,작품설명 없음
김장훈 콘서트,연남스페이스,주소:,2023/09/01 ~ 2023/09/10,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191639_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010832,콘서트,O,,,줄거리 없음,작품설명 없음
데이먼스 이어 콘서트,디뮤지엄,서울특별시 용산구 한남동 50-1 Replace 한남 F동,2023/09/04 ~ 2023/09/08,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191878_01.929.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011113,콘서트,O,,,줄거리 없음,작품설명 없음
본스타뮤직 라이브퍼포먼스,웨스트브릿지,서울 마포구 서교동 338-10 웨스트브릿지,2023/09/06 ~ 2023/09/06,,,콘서트,X,http://ticketimage.interpark.com/TicketImage/07playdb/noimg_160x200.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23012369,줄거리 없음,작품설명 없음
대전인디음악축전 플레이 락 - 대전,대전음악창작소,대전광역시 중구 대흥로175번길 25,2023/09/05 ~ 2023/09/17,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193177_01.450.gif,후기탭 없음,줄거리 없음,작품설명 없음
"청년, 신라문화 톡 톡",민속극장풍류,서울 강남구 삼성동 112-2,2023/09/06 ~ 2023/09/06,,,콘서트,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192539_01.146.gif,후기탭 없음,줄거리 없음,"대전인디음악축전 PLAY樂 은 올해로 12회를 맞이하는 전국 47개의 팀이 함께 참여하는 대한민국 최고의 인디뮤직페스티벌입니다.
세상의 모든 장르, 모든 음악을 담겠다는 의지로 남녀노소, 아마추어, 프로, 누구나 참여하여 ‘모두가 만들고 모두가 주인공인 축제’를 만들기 위해 노력하고 있습니다.
작사, 작곡. 가수, 연주자, 녹음, 음향, 악기 그 밖의 모든 관련 음악산업 업체 등 참여하는 모든 분들의 홍보의 장을 제공하고 누군가에겐 불필요한, 누군가에겐 보물 같은 LP 및 중고 악기와 음향기기 등을 나누는 전국 최대의 음악 프리마켓을 만들고 싶습니다.
대전인디음악축전은 모두가 함께하는 우리 마음속의 소중한 음악놀이터입니다."
2023 마티네 콘서트 - 성남,성남아트센터 콘서트홀,경기 성남시 분당구 야탑동 757,2023/03/16 ~ 2023/12/21,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184824_01.425.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23001941,클래식,O,,,"각 분야의 전문가와 미래를 주도할 청년들을 초청하여, 신라문화 유산의 가치와 의의를 알아보고 발전방향을 모색하는 솔직담백한 콘서트입니다.
신라문화유산에 관심있는 청년들의 많은 관심 부탁드립니다.","문화재청 국립문화재연구원에서 천마총 발굴 50주년을 기념하여,

신라문화유산의 가치를 다각도에서 재조명하고

미래세대 청년들이 공감할 수 있는 문화유산 연구 및 활용 방향을 모색하기 위해

토크콘서트 「청년, 신라문화 TALK TALK」을 개최합니다.

본 행사는 ‘청년이 바라보는 신라문화유산의 가치와 미래’라는 주제로
 
다양한 분야의 전문가들과 청년들의 솔직담백한 이야기를 나누는
 
소통의 장이 될 것입니다.

많은 관심과 참여 부탁드립니다.
문화재청 국립문화재연구원에서 천마총 발굴 50주년을 기념하여,

신라문화유산의 가치를 다각도에서 재조명하고

미래세대 청년들이 공감할 수 있는 문화유산 연구 및 활용 방향을 모색하기 위해

토크콘서트 「청년, 신라문화 TALK TALK」을 개최합니다.

본 행사는 ‘청년이 바라보는 신라문화유산의 가치와 미래’라는 주제로
 
다양한 분야의 전문가들과 청년들의 솔직담백한 이야기를 나누는
 
소통의 장이 될 것입니다.

많은 관심과 참여 부탁드립니다."
2023 오르간 오딧세이,롯데콘서트홀,서울특별시 송파구 올림픽로 300 롯데월드몰 8층 롯데콘서트홀,2023/02/22 ~ 2023/12/20,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_182949_01.439.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22017596,클래식,O,,,줄거리 없음,작품설명 없음
2023 마티네 콘서트,소셜베뉴 라움(라움아트센터),서울 강남구 역삼동 680-1,2023/01/31 ~ 2023/12/26,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_182898_01.101.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22017531,클래식,O,,,줄거리 없음,작품설명 없음
더 클래식 하우스 콘서트 - 용인,용인 문예회관 대공연장 (처인홀),경기 용인시처인구 김량장동 346번지,2023/03/18 ~ 2023/11/18,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184703_01.254.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23001784,클래식,O,,,줄거리 없음,작품설명 없음
클래식 멜로디 마켓 - 용인,용인시 문화예술원 마루홀,경기도 용인시 처인구 중부대로 1199,2023/04/08 ~ 2023/12/09,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_185542_01.116.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003030,어린이/가족,O,,,줄거리 없음,작품설명 없음
마티네 콘서트 - 용인,용인 포은아트홀,경기도 용인시 수지구 포은대로 499 용인아트피아 1F,2023/05/20 ~ 2023/12/02,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187726_01.556.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23005748,줄거리 없음,작품설명 없음
2023 브런치 콘서트 - 용인,용인시 평생학습관 큰어울마당,경기도 용인시 신촌1길 13번지(풍덕천동 1086번지) 용인시 여성회관,2023/04/22 ~ 2023/11/11,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/03/0400012303_185871_01.643.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23003207,클래식,O,,,줄거리 없음,작품설명 없음
낭만드림,강동아트센터 소극장 드림,서울 강동구 상일동 477,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191099_01.435.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010086,줄거리 없음,작품설명 없음
슈만의희망,거암아트홀,서울특별시 강남구 강남대로 652(신사동) 거암아트홀,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192015_01.308.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011292,줄거리 없음,작품설명 없음
스즈메의 문단속 ＆ 너의 이름은 ＆ 날씨의 아이 영화음악 콘서트,연세대학교 백주년기념관,서울특별시 서대문구 신촌동 134,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192394_01.834.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011743,줄거리 없음,작품설명 없음
정담온 클라리넷 독주회－천안,천안예술의전당 소공연장,충남 천안시 동남구 성남면 용원리 (휴러클리조트 옆),2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192873_01.240.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23012282,줄거리 없음,작품설명 없음
